Date ,Trend,Index,Pulse Score 
4/10/2019,87.25371432,33.10184669,107.2130467
4/11/2019,85.20073667,30.6290006,107.2469522
4/12/2019,85.2543089,31.00508509,107.3045883
4/15/2019,84.76188129,32.03325379,102.861558
4/16/2019,85.34140873,31.29363026,101.6815942
4/17/2019,85.39695257,31.96216295,99.79820766
4/18/2019,85.62996642,32.31315654,98.44364105
4/22/2019,85.86394018,32.11689007,102.7097477
4/23/2019,86.15203155,33.3446707,104.8069457
4/24/2019,85.59069197,31.70790865,105.9460253
4/25/2019,83.97250955,31.92424783,106.6618729
4/26/2019,84.24692318,30.40931597,107.5115051
4/29/2019,84.19308317,29.60557129,104.9757238
4/30/2019,84.29640248,30.88241854,103.4930915
5/1/2019,84.37864754,31.13918193,102.7752057
5/2/2019,84.55608421,31.72770257,100.5695363
5/3/2019,84.91678618,33.61035529,99.40166962
5/6/2019,84.82813312,33.03800433,104.2662045
5/7/2019,84.8107522,33.67140977,106.0627842
5/8/2019,85.41160855,33.51445235,107.0081022
5/9/2019,85.84162337,33.94016103,109.2121991
5/10/2019,86.44914195,34.73331177,110.3468147
5/13/2019,90.22955207,41.41612954,118.5355411
5/14/2019,92.11184711,44.00690278,120.1759034
5/15/2019,94.97644952,44.75461115,122.7997285
5/16/2019,95.02192637,46.56087606,126.2080353
5/17/2019,91.13607135,41.64306265,128.3028605
5/20/2019,89.95292316,45.07549568,128.0967091
5/21/2019,89.92749842,46.02532507,128.6497762
5/22/2019,88.25770929,45.62359212,126.9410404
5/23/2019,89.058508,44.42396904,125.7652219
5/24/2019,89.52731185,46.98825747,125.1827602
5/27/2019,89.73212817,50.82493253,125.4061431
5/28/2019,89.47912389,50.48982983,124.7122997
5/29/2019,89.1852323,51.06831412,127.0518127
5/30/2019,87.22350857,51.90244664,127.835716
5/31/2019,88.75200466,49.08920088,129.3071284
6/3/2019,86.01385526,48.70726186,129.8429321
6/4/2019,84.28402898,46.26452483,131.2010045
6/5/2019,84.67304063,44.89679283,128.6050365
6/6/2019,84.77747723,45.03590784,126.7116779
6/7/2019,85.03631501,46.82433035,122.4019735
6/10/2019,86.0872161,47.12737248,114.7639963
6/11/2019,85.87478518,46.4566095,112.4617808
6/12/2019,86.68224201,48.25506836,113.0474985
6/13/2019,86.56348654,49.09198876,113.8763264
6/14/2019,87.38715803,49.55812164,115.7149522
6/17/2019,88.78309027,54.121596,126.4478024
6/18/2019,87.52017561,52.45165823,127.7781668
6/19/2019,88.31186768,52.29497959,128.0916716
6/20/2019,89.20531326,53.24759685,128.0655951
6/21/2019,92.51864055,55.7527823,129.7821039
6/24/2019,93.46562087,60.83340768,129.6849113
6/25/2019,96.39888035,61.64217053,130.0706091
6/26/2019,101.9073839,68.23493989,131.7306877
6/27/2019,92.75820809,62.46905458,132.9962275
6/28/2019,97.61488963,61.38986774,131.5766064
7/1/2019,97.13508122,55.18433437,127.9655032
7/2/2019,97.65968668,56.73439347,124.8228133
7/3/2019,100.3206701,59.93264491,121.3431687
7/4/2019,97.84702555,61.66280081,117.0780552
7/5/2019,97.65317485,59.58499677,114.0230123
7/8/2019,99.74555713,62.14761246,106.1037384
7/9/2019,100.10505,63.41693244,107.9190242
7/10/2019,98.05270374,62.77544216,109.8238754
7/11/2019,95.17689182,58.29922832,111.9775407
7/12/2019,96.50039873,58.09878003,113.5499472
7/15/2019,97.82040413,51.7661195,116.829387
7/16/2019,95.33397989,50.31335727,115.3929601
7/17/2019,95.73411584,48.0719049,114.0937017
7/18/2019,96.70637993,50.89713852,113.3740675
7/19/2019,96.62243044,50.52495707,111.4030768
7/22/2019,96.28793443,49.95929701,101.5114554
7/23/2019,95.71091246,48.87676473,98.92266683
7/24/2019,95.55134054,48.90018288,93.99412555
7/25/2019,95.63685929,49.56592769,89.5342174
7/26/2019,95.59483696,48.81041327,89.43656631
7/29/2019,95.5696918,47.35542075,87.29800147
7/30/2019,95.66113183,47.76523853,86.89118768
7/31/2019,96.09816635,49.75856993,87.95770859
8/1/2019,96.3745209,49.72706693,88.6597616
8/2/2019,96.4828363,51.99611928,88.02142423
8/5/2019,98.14667279,56.49101189,91.02600448
8/6/2019,97.06068177,55.92507304,93.6828098
8/7/2019,98.40790372,56.88633272,94.89051261
8/8/2019,98.24459921,55.04661329,95.21469678
8/9/2019,97.54314884,54.35856547,95.15445201
8/12/2019,97.12955834,53.46532997,90.82062437
8/13/2019,96.00972389,51.89296786,88.08488211
8/14/2019,94.25753168,50.25453309,87.31103274
