Date,ORDCI Development  Activity Index ,ORDCI Development Activity Index (7DMA),Pulse Scores ,Core Index Price
3/13/2020,295.042735,234.1636142,62.03162227,567.15
3/14/2020,91.62393162,236.7521368,63.69436399,577.29
3/15/2020,56.41025641,239.1575092,63.02087148,577.35
3/16/2020,292.991453,239.7557998,63.11004765,557.06
3/17/2020,305.1282051,240.1343101,63.56971784,548.91
3/18/2020,362.2222222,239.8412698,63.39663545,555.9
3/19/2020,331.965812,244.8717949,61.88115747,606.07
3/20/2020,369.9145299,243.5531136,60.8379347,710.6
3/21/2020,111.4529915,248.6568987,59.12159619,667.64
3/22/2020,68.03418803,251.7460317,59.98714809,651.54
3/23/2020,373.3333333,252.6739927,58.38600028,666.57
3/24/2020,395.3846154,258.6324786,58.20503239,704.82
3/25/2020,369.7435897,263.040293,57.18017461,706.77
3/26/2020,392.8205128,266.4713065,55.1673191,706.05
3/27/2020,325.2991453,272.5763126,52.00068924,707.26
3/28/2020,80.85470085,274.7374847,52.04222908,664.4
3/29/2020,62.90598291,273.968254,50.24218795,658.38
3/30/2020,355.8974359,274.4322344,49.11829698,677.34
3/31/2020,405.1282051,278.9255189,47.72174452,689.71
4/1/2020,395.8974359,286.0683761,47.45162822,670.07
4/2/2020,314.5299145,288.4737485,48.20412556,724.62
4/3/2020,350.9401709,287.2283272,48.98792552,726.44
4/4/2020,88.54700855,285.8730159,48.84850349,719.34
4/5/2020,81.88034188,284.2368742,49.02795735,725.36
4/6/2020,454.5299145,285.2258852,51.19170222,763.27
4/7/2020,374.8717949,291.025641,52.68657662,788.52
4/8/2020,347.5213675,289.5604396,52.92762626,779.42
4/9/2020,381.1965812,287.973138,53.6682076,794.27
4/10/2020,222.5641026,287.1428571,53.97777024,740.57
4/11/2020,90.42735043,279.8046398,53.4283578,729.76
4/12/2020,53.5042735,280.4884005,53.19660889,753.86
4/13/2020,216.2393162,279.8168498,51.11362299,724.7
4/14/2020,428.8888889,269.8412698,49.04384448,744.45
4/15/2020,351.6239316,271.5384615,49.40795128,726.8
4/16/2020,395.5555556,268.3760684,50.40836148,763.25
4/17/2020,311.2820513,274.1636142,50.50133811,763.51
4/18/2020,58.46153846,271.3308913,52.14940137,778.69
4/19/2020,58.97435897,269.1819292,52.7592461,775.89
4/20/2020,359.1452991,267.5457875,54.4883745,765.4
4/21/2020,336.2393162,260.7326007,56.2068974,743.3
4/22/2020,455.2136752,257.973138,57.10004761,775.35
4/23/2020,450.2564103,265.6654457,57.05490703,811.18
4/24/2020,422.5641026,270.5982906,59.94465893,816.35
4/25/2020,78.8034188,284.8840049,59.66467786,828.23
4/26/2020,58.63247863,284.0537241,60.63184963,835.27
4/27/2020,412.991453,284.4200244,61.5873878,835.98
4/28/2020,407.5213675,298.4737485,61.06093782,837.6
4/29/2020,360.3418803,296.9474969,64.12627892,908.69
4/30/2020,428.8888889,297.5702076,66.15139878,952.62
5/1/2020,212.1367521,299.95116,64.91228428,952.64
5/2/2020,67.52136752,292.8693529,64.96989856,947.33
5/3/2020,40.85470085,293.5164835,64.99040337,949.68
5/4/2020,425.982906,292.2222222,65.0347295,942.88
5/5/2020,420.5128205,296.996337,64.82251064,952.23
5/6/2020,440.6837607,303.015873,62.61411622,986.5
5/7/2020,409.5726496,301.978022,61.70580387,996.97
5/8/2020,261.025641,299.0720391,62.77335688,1054.69
5/9/2020,78.8034188,287.5335775,65.19102716,1033.31
5/10/2020,101.025641,287.5335775,66.53157243,920.65
5/11/2020,402.5641026,290.5616606,66.45621798,938.89
5/12/2020,411.7948718,289.8168498,68.7620659,944.79
5/13/2020,365.982906,290.1221001,70.08890683,964.27
5/14/2020,399.8290598,290.5250305,68.22257874,1014.39
5/15/2020,367.3504274,288.4493284,67.43477403,1009.8
5/16/2020,86.32478632,299.5360195,64.95340505,998.09
5/17/2020,58.29059829,300.8791209,62.67847023,1037.61
5/18/2020,423.9316239,302.1245421,61.96003722,1030.89
5/19/2020,398.8034188,301.978022,59.4740097,1029.61
5/20/2020,386.6666667,300.4273504,57.79669631,1037.3
5/21/2020,273.8461538,296.5689866,58.67797632,964.43
5/22/2020,290.7692308,286.8742369,57.66255214,972.09
5/23/2020,73.33333333,288.998779,57.41926742,981.21
5/24/2020,65.2991453,288.6080586,57.75555078,968
5/25/2020,353.8461538,286.0561661,57.31220592,936.85
5/26/2020,358.8034188,282.5763126,57.10102388,941.64
5/27/2020,362.2222222,278.7912088,56.71044774,975
5/28/2020,381.8803419,278.5225885,56.22276956,1007.45
5/29/2020,277.7777778,277.2405372,56.81911167,1009.59
5/30/2020,92.47863248,270.8424908,57.42219102,1030.6
5/31/2020,77.43589744,271.2820513,59.7911002,1021.89
6/1/2020,237.6068376,272.6495726,61.01794225,1032.23
6/2/2020,384.6153846,259.3406593,64.53081481,1031.12
6/3/2020,325.8119658,258.3272283,64.25817892,1034.62
6/4/2020,303.9316239,253.980464,64.33372711,1052.98
6/5/2020,307.008547,256.1294261,64.46679656,1046.38
6/6/2020,91.62393162,257.2893773,63.51254751,1043.27
6/7/2020,63.58974359,258.5958486,62.18127924,1021.9
6/8/2020,396.2393162,258.4737485,60.99887044,1044.7
