,asset,time,HashRate,ReferenceRateUSD
198,btc,2015-07-18 00:00:00+00:00,378313.971156526,280.064724722385
199,btc,2015-07-19 00:00:00+00:00,385931.03097847,277.354635300994
200,btc,2015-07-20 00:00:00+00:00,396087.110741061,275.281989479836
201,btc,2015-07-21 00:00:00+00:00,322455.532462274,279.114393045003
202,btc,2015-07-22 00:00:00+00:00,391009.070859765,276.652412624196
203,btc,2015-07-23 00:00:00+00:00,355462.791690696,277.764369082408
204,btc,2015-07-24 00:00:00+00:00,429094.369969483,276.811628579778
205,btc,2015-07-25 00:00:00+00:00,395370.72515724,289.305976329632
206,btc,2015-07-26 00:00:00+00:00,374222.682670225,289.507639976622
207,btc,2015-07-27 00:00:00+00:00,387216.525818497,293.314842781999
208,btc,2015-07-28 00:00:00+00:00,353432.53363299,294.426761835184
209,btc,2015-07-29 00:00:00+00:00,395012.83170746,295.410125268849
210,btc,2015-07-30 00:00:00+00:00,348234.996373682,289.85583635301
211,btc,2015-07-31 00:00:00+00:00,392414.063077805,288.236260666277
212,btc,2015-08-01 00:00:00+00:00,402809.137596423,284.597324371712
213,btc,2015-08-02 00:00:00+00:00,392414.063077805,281.66884628872
214,btc,2015-08-03 00:00:00+00:00,408006.674855731,282.423006428989
215,btc,2015-08-04 00:00:00+00:00,353432.53363299,282.185052308591
216,btc,2015-08-05 00:00:00+00:00,345636.227744027,285.286617475161
217,btc,2015-08-06 00:00:00+00:00,371623.914040571,282.338886908241
218,btc,2015-08-07 00:00:00+00:00,356031.302262645,278.99574868498
219,btc,2015-08-08 00:00:00+00:00,420413.404985863,279.488715078901
220,btc,2015-08-09 00:00:00+00:00,372000.719336283,261.450275569842
221,btc,2015-08-10 00:00:00+00:00,437493.803726473,266.342020455874
222,btc,2015-08-11 00:00:00+00:00,424395.186848435,264.928825248393
223,btc,2015-08-12 00:00:00+00:00,330085.145326561,271.421736119229
224,btc,2015-08-13 00:00:00+00:00,385099.336214321,268.143868497954
225,btc,2015-08-14 00:00:00+00:00,372000.719336283,264.691627995324
226,btc,2015-08-15 00:00:00+00:00,358902.102458245,266.355941554646
227,btc,2015-08-16 00:00:00+00:00,361521.825833852,261.936836645237
228,btc,2015-08-17 00:00:00+00:00,385099.336214321,258.930817389831
229,btc,2015-08-18 00:00:00+00:00,369380.995960675,258.009398305085
230,btc,2015-08-19 00:00:00+00:00,408676.846594789,217.885883116937
231,btc,2015-08-20 00:00:00+00:00,392958.506341144,227.218251899474
232,btc,2015-08-21 00:00:00+00:00,432254.356975258,235.523883109293
233,btc,2015-08-22 00:00:00+00:00,426143.652201538,232.80061783986
234,btc,2015-08-23 00:00:00+00:00,361412.970854469,230.639173290473
235,btc,2015-08-24 00:00:00+00:00,418052.317033154,228.673073933372
236,btc,2015-08-25 00:00:00+00:00,364110.082577264,211.955917592051
237,btc,2015-08-26 00:00:00+00:00,434234.987369922,222.655039450614
238,btc,2015-08-27 00:00:00+00:00,369504.306022853,226.116700175336
239,btc,2015-08-28 00:00:00+00:00,418052.317033154,224.939877264757
240,btc,2015-08-29 00:00:00+00:00,431537.875647127,232.17080829924
241,btc,2015-08-30 00:00:00+00:00,404566.758419182,229.826200175336
242,btc,2015-08-31 00:00:00+00:00,423446.540478743,229.019572472238
243,btc,2015-09-01 00:00:00+00:00,415355.20531036,230.689466101695
244,btc,2015-09-02 00:00:00+00:00,431537.875647127,227.955570426651
245,btc,2015-09-03 00:00:00+00:00,393778.311528004,229.502180709527
246,btc,2015-09-04 00:00:00+00:00,434444.799372061,227.107121566335
247,btc,2015-09-05 00:00:00+00:00,416212.869138725,231.177563413209
248,btc,2015-09-06 00:00:00+00:00,407718.72895222,235.903006136762
249,btc,2015-09-07 00:00:00+00:00,430369.769449566,240.805472238457
250,btc,2015-09-08 00:00:00+00:00,385067.688454875,240.6336157218
251,btc,2015-09-09 00:00:00+00:00,421875.629263061,244.174952659264
252,btc,2015-09-10 00:00:00+00:00,484165.990630761,238.722463179427
253,btc,2015-09-11 00:00:00+00:00,447358.049822575,238.750477206312
254,btc,2015-09-12 00:00:00+00:00,382236.308392706,240.845008116891
255,btc,2015-09-13 00:00:00+00:00,427538.389387398,236.351832176505
256,btc,2015-09-14 00:00:00+00:00,430369.769449566,230.548837317358
257,btc,2015-09-15 00:00:00+00:00,453020.809946911,230.948793980129
258,btc,2015-09-16 00:00:00+00:00,402055.968827884,230.398590005845
259,btc,2015-09-17 00:00:00+00:00,410910.027600594,229.043285797779
260,btc,2015-09-18 00:00:00+00:00,433587.717335429,233.202697837522
261,btc,2015-09-19 00:00:00+00:00,368697.038550535,233.175130917592
262,btc,2015-09-20 00:00:00+00:00,377545.767475748,232.241568088837
263,btc,2015-09-21 00:00:00+00:00,389344.072709365,231.362323787259
264,btc,2015-09-22 00:00:00+00:00,463083.480419472,226.773447983635
265,btc,2015-09-23 00:00:00+00:00,466033.056727876,230.626304792519
266,btc,2015-09-24 00:00:00+00:00,412940.683176599,230.132437755698
267,btc,2015-09-25 00:00:00+00:00,483730.514578302,234.319868497954
268,btc,2015-09-26 00:00:00+00:00,433587.717335429,235.538221800117
269,btc,2015-09-27 00:00:00+00:00,439486.869952237,234.591814436002
270,btc,2015-09-28 00:00:00+00:00,421789.412101812,233.243309760374
271,btc,2015-09-29 00:00:00+00:00,513226.277662345,240.017265341905
272,btc,2015-09-30 00:00:00+00:00,436537.293643833,237.336233781414
273,btc,2015-10-01 00:00:00+00:00,444776.382758561,236.739848042081
274,btc,2015-10-02 00:00:00+00:00,417179.763438577,238.229813851549
275,btc,2015-10-03 00:00:00+00:00,438341.05578691,237.937007305669
276,btc,2015-10-04 00:00:00+00:00,462525.389899291,239.735897720631
277,btc,2015-10-05 00:00:00+00:00,462525.389899291,239.516924897721
278,btc,2015-10-06 00:00:00+00:00,429271.930494767,240.961213833431
279,btc,2015-10-07 00:00:00+00:00,402064.554618338,246.940498246639
280,btc,2015-10-08 00:00:00+00:00,423225.846966672,243.734486849795
281,btc,2015-10-09 00:00:00+00:00,380903.262270005,243.029632963179
282,btc,2015-10-10 00:00:00+00:00,483686.682247624,244.448887492694
283,btc,2015-10-11 00:00:00+00:00,441364.097550958,245.955924313267
284,btc,2015-10-12 00:00:00+00:00,429271.930494767,248.528165400351
285,btc,2015-10-13 00:00:00+00:00,414156.721674529,246.093637346581
286,btc,2015-10-14 00:00:00+00:00,459502.348135244,250.471300701344
287,btc,2015-10-15 00:00:00+00:00,502137.288713881,253.142325540619
288,btc,2015-10-16 00:00:00+00:00,435823.398820657,254.693015002922
289,btc,2015-10-17 00:00:00+00:00,411610.987775065,262.737363237873
290,btc,2015-10-18 00:00:00+00:00,438849.950201356,271.930938924605
291,btc,2015-10-19 00:00:00+00:00,499380.977815336,263.481677381648
292,btc,2015-10-20 00:00:00+00:00,387398.576729473,264.362728229106
293,btc,2015-10-21 00:00:00+00:00,435823.398820657,270.832211864407
294,btc,2015-10-22 00:00:00+00:00,447929.604343453,268.040217708942
295,btc,2015-10-23 00:00:00+00:00,450956.155724152,275.414956458212
296,btc,2015-10-24 00:00:00+00:00,438849.950201356,278.612778026885
297,btc,2015-10-25 00:00:00+00:00,469115.464008346,283.61114289889
298,btc,2015-10-26 00:00:00+00:00,496354.426434637,286.04969345412
299,btc,2015-10-27 00:00:00+00:00,444903.052962754,286.703382817066
300,btc,2015-10-28 00:00:00+00:00,420690.641917162,295.562913793104
301,btc,2015-10-29 00:00:00+00:00,466068.004514329,304.442097019287
302,btc,2015-10-30 00:00:00+00:00,529187.24527939,314.879462302747
303,btc,2015-10-31 00:00:00+00:00,454915.351205088,328.492321157218
304,btc,2015-11-01 00:00:00+00:00,473483.324723664,314.119508182349
305,btc,2015-11-02 00:00:00+00:00,473483.324723664,329.854227644652
306,btc,2015-11-03 00:00:00+00:00,479672.649229855,364.616627995324
307,btc,2015-11-04 00:00:00+00:00,479672.649229855,400.923105201637
308,btc,2015-11-05 00:00:00+00:00,451820.688951993,405.481681472823
309,btc,2015-11-06 00:00:00+00:00,448726.026698897,384.341222969024
310,btc,2015-11-07 00:00:00+00:00,470388.662470568,372.975417884278
311,btc,2015-11-08 00:00:00+00:00,430158.053180322,386.504550847458
312,btc,2015-11-09 00:00:00+00:00,461104.67571128,372.400129748685
313,btc,2015-11-10 00:00:00+00:00,451820.688951993,380.495644360023
314,btc,2015-11-11 00:00:00+00:00,537055.796106772,337.830502337814
315,btc,2015-11-12 00:00:00+00:00,527006.857659411,308.922185856225
316,btc,2015-11-13 00:00:00+00:00,523733.523139787,337.522988603156
317,btc,2015-11-14 00:00:00+00:00,464813.50178656,337.278958211572
318,btc,2015-11-15 00:00:00+00:00,523733.523139787,333.047117475161
319,btc,2015-11-16 00:00:00+00:00,566286.871894895,319.928021624781
320,btc,2015-11-17 00:00:00+00:00,487726.843423926,331.132725014611
321,btc,2015-11-18 00:00:00+00:00,500820.181502421,335.849786090006
322,btc,2015-11-19 00:00:00+00:00,445173.494668818,335.744504967855
323,btc,2015-11-20 00:00:00+00:00,546646.864777153,326.232145528931
324,btc,2015-11-21 00:00:00+00:00,569560.206414519,321.940475452951
325,btc,2015-11-22 00:00:00+00:00,563013.537375271,325.905231151373
326,btc,2015-11-23 00:00:00+00:00,533553.526698658,323.716966101695
327,btc,2015-11-24 00:00:00+00:00,560533.42415402,323.012556341321
328,btc,2015-11-25 00:00:00+00:00,535030.217025699,319.961356527177
329,btc,2015-11-26 00:00:00+00:00,636252.149976506,328.960457334892
330,btc,2015-11-27 00:00:00+00:00,480804.181516337,356.255292518995
331,btc,2015-11-28 00:00:00+00:00,556720.631229443,359.268824371712
332,btc,2015-11-29 00:00:00+00:00,538645.286059656,356.567322618352
333,btc,2015-11-30 00:00:00+00:00,585641.183501102,371.707612507306
334,btc,2015-12-01 00:00:00+00:00,603716.528670889,377.389839859731
335,btc,2015-12-02 00:00:00+00:00,582026.114467145,362.532375803624
336,btc,2015-12-03 00:00:00+00:00,513339.802821954,359.22240414962
337,btc,2015-12-04 00:00:00+00:00,553105.562195486,361.210068088837
338,btc,2015-12-05 00:00:00+00:00,632637.080942549,363.241631794272
339,btc,2015-12-06 00:00:00+00:00,577650.161239677,389.362958796026
340,btc,2015-12-07 00:00:00+00:00,578033.500385697,393.319129748685
341,btc,2015-12-08 00:00:00+00:00,688135.119506783,395.346588252484
342,btc,2015-12-09 00:00:00+00:00,660609.714726512,413.798660432496
343,btc,2015-12-10 00:00:00+00:00,849355.347505516,417.632671244886
344,btc,2015-12-11 00:00:00+00:00,629152.109263344,415.729924313267
345,btc,2015-12-12 00:00:00+00:00,637016.510629136,453.86148012858
346,btc,2015-12-13 00:00:00+00:00,558372.496971217,435.85572238457
347,btc,2015-12-14 00:00:00+00:00,766779.133164702,434.403466393922
348,btc,2015-12-15 00:00:00+00:00,719592.724969951,442.991689655173
349,btc,2015-12-16 00:00:00+00:00,640948.711312032,464.617871712449
350,btc,2015-12-17 00:00:00+00:00,609491.105848864,454.142492402104
351,btc,2015-12-18 00:00:00+00:00,684510.337699163,456.240134611338
352,btc,2015-12-19 00:00:00+00:00,729321.303625075,463.175769725307
353,btc,2015-12-20 00:00:00+00:00,766484.172599601,461.399907948568
354,btc,2015-12-21 00:00:00+00:00,692158.434650549,442.15399006429
355,btc,2015-12-22 00:00:00+00:00,696803.793272365,437.640129456458
356,btc,2015-12-23 00:00:00+00:00,729321.303625075,435.268379018118
357,btc,2015-12-24 00:00:00+00:00,641059.489810576,442.665727060199
358,btc,2015-12-25 00:00:00+00:00,752548.096734154,455.878713033314
359,btc,2015-12-26 00:00:00+00:00,794356.324330496,455.718825832846
360,btc,2015-12-27 00:00:00+00:00,952298.517472232,418.221531560491
361,btc,2015-12-28 00:00:00+00:00,701449.151894181,422.705894506137
362,btc,2015-12-29 00:00:00+00:00,738612.020868707,421.052879602572
363,btc,2015-12-30 00:00:00+00:00,766484.172599601,431.340021332554
364,btc,2015-12-31 00:00:00+00:00,702681.498032921,426.043646990064
365,btc,2016-01-01 00:00:00+00:00,697129.166405806,429.677153419053
366,btc,2016-01-02 00:00:00+00:00,748768.363917347,434.678006428989
367,btc,2016-01-03 00:00:00+00:00,748768.363917347,434.439877264757
368,btc,2016-01-04 00:00:00+00:00,934669.474958895,430.136180011689
369,btc,2016-01-05 00:00:00+00:00,810735.400931196,433.44897106955
370,btc,2016-01-06 00:00:00+00:00,728112.684912731,432.669502630041
371,btc,2016-01-07 00:00:00+00:00,759096.203419655,430.677869666862
372,btc,2016-01-08 00:00:00+00:00,893358.116949662,459.208940093513
373,btc,2016-01-09 00:00:00+00:00,779751.882424272,454.134423728814
374,btc,2016-01-10 00:00:00+00:00,903685.95645197,449.845216247808
375,btc,2016-01-11 00:00:00+00:00,877866.357696199,448.580216247808
376,btc,2016-01-12 00:00:00+00:00,877866.357696199,449.033059029807
377,btc,2016-01-13 00:00:00+00:00,813710.194014571,441.768157218001
378,btc,2016-01-14 00:00:00+00:00,749438.083305595,432.310645236704
379,btc,2016-01-15 00:00:00+00:00,687454.482430696,429.823224722385
380,btc,2016-01-16 00:00:00+00:00,800151.938566876,367.823199883109
381,btc,2016-01-17 00:00:00+00:00,850865.793828157,388.071204558738
382,btc,2016-01-18 00:00:00+00:00,974832.995577956,382.482086499123
383,btc,2016-01-19 00:00:00+00:00,749438.083305595,384.865166569258
384,btc,2016-01-20 00:00:00+00:00,856500.666634966,378.161725014611
