Date,SPX Index,LUATTRUU Index,BBDXY Index,BCOM Index,COIN50I Index,XBTUSD BGN Curncy,XAU Curncy,FEDL01 Index
6/11/2021,4247.44,2492.58,1122.3,94.9903,238.41,37152.15,1877.53,0.06
6/12/2021,4247.44,2492.58,1122.3,94.9903,238.41,37152.15,1877.53,0.06
6/13/2021,4247.44,2492.58,1122.3,94.9903,238.41,37152.15,1877.53,0.06
6/14/2021,4255.15,2486.55,1122.99,94.314,253.46,39831.58,1866.18,0.06
6/15/2021,4246.59,2486.16,1124.18,93.5422,251.42,39948.77,1859.02,0.06
6/16/2021,4223.7,2478.4,1133.77,93.4144,242.15,38532.5,1811.47,0.06
6/17/2021,4221.86,2486.65,1140.62,90.1018,242.4,37747.52,1773.5,0.1
6/18/2021,4166.45,2496.48,1144.82,90.933,227.26,35517.31,1764.16,0.1
6/19/2021,4166.45,2496.48,1144.82,90.933,227.26,35517.31,1764.16,0.1
6/20/2021,4166.45,2496.48,1144.82,90.933,227.26,35517.31,1764.16,0.1
6/21/2021,4224.79,2487.96,1139.99,91.5595,202.09,32582.59,1783.27,0.1
6/22/2021,4246.44,2490.92,1138.48,91.5248,182.66,32903.52,1778.74,0.1
6/23/2021,4241.84,2487.77,1138.73,92.2513,205,33059.18,1778.68,0.1
6/24/2021,4266.49,2488.25,1136.34,92.3561,204.35,34859.9,1775.17,0.1
6/25/2021,4280.7,2482.22,1135.32,92.437,194.97,32215.31,1781.44,0.1
6/26/2021,4280.7,2482.22,1135.32,92.437,194.97,32215.31,1781.44,0.1
6/27/2021,4280.7,2482.22,1135.32,92.437,194.97,32215.31,1781.44,0.1
6/28/2021,4290.61,2489.22,1136.79,93.0665,207.62,34677.77,1778.48,0.1
6/29/2021,4291.8,2490.43,1138.75,93.1987,222.32,36168.2,1761.24,0.1
6/30/2021,4297.5,2493.36,1142.11,94.5412,211.1,34585,1770.11,0.08
7/1/2021,4319.94,2492.5,1145.36,94.6891,205.67,33422,1776.84,0.1
7/2/2021,4352.34,2497.55,1139.85,94.9753,207.83,33142.64,1787.3,0.1
7/3/2021,4352.34,2497.55,1139.85,94.9753,207.83,33142.64,1787.3,0.1
7/4/2021,4352.34,2497.55,1139.85,94.9753,207.83,33142.64,1787.3,0.1
7/5/2021,4352.34,2497.55,1139.9,94.9753,212,33855.36,1791.77,0.1
7/6/2021,4343.54,2508.31,1144.33,92.7971,216.56,33957.11,1797.08,0.1
7/7/2021,4358.13,2514.41,1145.57,92.4746,220.17,34544.86,1803.63,0.1
7/8/2021,4320.82,2519.19,1143.68,92.5763,205.67,32815.73,1802.83,0.1
